name,scimark.fft.large,scimark.lu.large,scimark.monte_carlo,scimark.sor.large,scimark.sparse.large,sunflow
HULL17,34.996073776289187,6.855571285038252,59.074040001969855,35.035153814645774,19.913303576415995,86.343919655144717
HULL18,36.301114089729161,6.823269089712964,57.256357755697948,34.542597535353565,20.835115259055652,84.660774523347158
HULL33,30.074691031458833,5.7530830180802308,39.119078807213803,27.165829100027146,18.662262709796931,54.443604641720263
HULL35,30.890681685919304,5.7146477254771231,36.544371355158674,31.436161935849338,19.519543447921844,63.798188844048894
HULL37,31.836207444276738,5.9854772711603959,47.144986703071503,30.984721458868403,18.974947481414095,54.097287872490561
HULL38,45.996981597635539,10.760363033979459,36.26116160334594,24.501479200588715,31.868108837444666,29.852133718789254
HULL41,44.705605728769072,11.172307653202873,39.278684669413863,27.892300664698816,33.717640280018671,53.849243171358552
HULL43,29.062076362697109,5.7914388094110016,38.919580966470221,27.662675161680312,18.742433644865137,54.187482142346425
HULL45,30.36710040512153,5.7679835971818489,39.186179124268243,26.995727422174884,18.571226334358137,55.149984730079026
HULL47,29.933764759741258,5.7707236545312472,39.298932456048874,27.551440113200425,18.551252095839175,53.44032234063944
HULL51,20.882229965488577,5.1974565150016403,37.891088171709796,26.002501564290046,17.967862806385053,51.403034746212256
HULL53,29.079945230818673,5.8168106867645504,39.727564552267694,27.814449216621728,18.803496665674853,55.553615752265877
HULL55,27.690679215192759,5.0740922556638814,37.093633936647983,25.952064552424478,17.884969830200312,44.132431864823005
HULL56,28.379775774847197,5.7589950568676311,39.31528451107225,27.509649955463889,18.627079956419045,54.213301306801696
HULL57,29.043954566004047,5.758258567896017,39.004711989415249,27.424058688026506,18.462961855387011,52.68863299972579
HULL61,30.359415273493656,5.7792687627616601,38.854311298024498,27.614618721311697,18.687810202572784,53.187048602362125
HULL62,21.456318006615856,4.1416274147468464,36.451946543735858,18.39366050756248,13.707243389677231,45.082139680491629
HULL71,28.241297439289568,5.5266465144367594,36.88245720021866,26.266792574319656,18.117090531310332,47.584183976277188
HULL73,26.615561605035975,5.1954567194436114,38.79708274159038,27.542899967007941,17.8799782153385,53.016125725416849
HULL74,28.101542669273961,5.1016025754891103,37.65789542431942,24.258375904150874,17.924009275887062,51.072137443612959
